Full Product Name,Model,Brand,Brief Naming,Size,Resolution,Response Time,Refresh Rate,Compatible Ports,Warranty
Dell 24 240Hz Monitor - SE2426HG,SE2426HG,DELL,DELL SE Series LED Monitor,"24""",1920 x 1080 FHD,0.5ms,240Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell 27 Monitor - SE2726H,SE2726H,DELL,DELL SE Series LED Monitor,"27""",1920 x 1080 FHD,4.0ms,144Hz,"HDMI, USB-C, Thunderbolt",3 Years
Dell Pro P 22 Monitor - P2226H​,P2226H,DELL,DELL Pro Series LED Monitor,"22""",,5.0ms,100Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro P 24 Monitor - P2426H​,P2426H,DELL,DELL Pro Series LED Monitor,"24""",,5.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro 24 Video Conferencing Monitor - E2426HB​,E2426HB,DELL,DELL E Series LED Monitor,"24""",,5.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell Pro P 24 16:10 Monitor - P2426,P2426,DELL,DELL Pro Series LED Monitor,"24""",,5.0ms,100Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro P 27 Monitor - P2726H​,P2726H,DELL,DELL Pro Series LED Monitor,"27""",,5.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell UltraSharp 43 4K USB-C Hub Monitor - U4323QE,U4323QE,DELL,Dell UltraSharp Series LED Monitor,"43""",3840 x 2160 4K UHD,5.0ms,,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Alienware 27 4K Dual-Resolution Gaming Monitor - AW2725QF,AW2725QF,DELL,Dell Alienware Series LED Monitor,"27""",2560 x 1440 QHD,0.5ms,180Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell Pro P 24 USB-C Hub Monitor - P2426HE,P2426HE,DELL,DELL Pro Series LED Monitor,"24""",,5.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell UltraSharp 49 Curved USB-C Hub Monitor - U4924DW,U4924DW,DELL,Dell UltraSharp Series LED Monitor,"49""",5120 x 1440,,,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell Pro P 27 USB-C Hub Monitor - P2726HE,P2726HE,DELL,DELL Pro Series LED Monitor,"27""",,5.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Alienware 27 240Hz QD-OLED Gaming Monitor - AW2726DM,AW2726DM,DELL,Dell Alienware Series LED Monitor,"27""",2560 x 1440 QHD,,240Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell UltraSharp 52 Thunderbolt Hub Monitor - U5226KW,U5226KW,DELL,Dell UltraSharp Series LED Monitor,"52""",,,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell 27 Monitor - SE2725HM,SE2725HM,DELL,DELL SE Series LED Monitor,"27""",1920 x 1080 FHD,5.0ms,100Hz,"HDMI, USB-C, VGA, Thunderbolt",3 Years
Dell Pro 27 Plus Monitor - P2725H,P2725H,DELL,DELL Pro Series LED Monitor,"27""",1920 x 1080 FHD,5.0ms,100Hz,"HDMI, USB-C, VGA, Thunderbolt, Ethernet",3 Years
Dell Pro 24 Plus USB-C Hub Monitor - P2425HE,P2425HE,DELL,DELL Pro Series LED Monitor,"24""",1920 x 1200 WUXGA,5.0ms,100Hz,"HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Alienware 34 Gaming Monitor - AW3425DWM,AW3425DW,DELL,Dell Alienware Series LED Monitor,"34""",2560 x 1440 QHD,1.0ms,180Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell Pro 24 Plus 16:10 Monitor - P2425,P2425,DELL,DELL Pro Series LED Monitor,"24""",1920 x 1200 WUXGA,5.0ms,100Hz,"HDMI, USB-C, VGA, Thunderbolt, Ethernet",3 Years
Dell Pro 24 Plus 16:10 USB-C Hub Monitor - P2425E,P2425E,DELL,DELL Pro Series LED Monitor,"24""",1920 x 1200 WUXGA,5.0ms,100Hz,"HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell UltraSharp 32 6K Monitor - U3224KB,U3224KB,DELL,Dell UltraSharp Series LED Monitor,"32""",3840 x 2160 4K UHD,,,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
